when should i pay my bill by	bill_due	O O O O O O O
when is my car insurance due	bill_due	O O O B-bill_type I-bill_type O
when ' s the gas bill due	bill_due	O O O O B-bill_type O O
when do i pay the utilities	bill_due	O O O O O B-bill_type
do i pay my rent this week	bill_due	O O O O B-bill_type O O
i need to know when i must pay my car bill	bill_due	O O O O O O O O O B-bill_type O
how much is my water bill	bill_due	O O O O B-bill_type O
is my bill due this week	bill_due	O O O O O O
how much time left to pay my bill	bill_due	O O O O O O O O
what day is my car insurance due	bill_due	O O O O B-bill_type I-bill_type O
when ' s the electric bill due	bill_due	O O O O B-bill_type O O
when ' s the next phone bill	bill_due	O O O O O B-bill_type O
when is my next car payment	bill_due	O O O O B-bill_type O
when is too late to pay my cable bill	bill_due	O O O O O O O B-bill_type O
can you alert me when my phone bill is due	bill_due	O O O O O O B-bill_type O O O
on what day do i pay my car payment	bill_due	O O O O O O O B-bill_type O
how can i know when my cable bill is due	bill_due	O O O O O O B-bill_type O O O
what day do i have to pay for my capital one card	bill_due	O O O O O O O O O B-bill_type I-bill_type I-bill_type
how long do i have left to pay for my chase credit card	bill_due	O O O O O O O O O O B-bill_type I-bill_type I-bill_type
what is the due date of my att bill	bill_due	O O O O O O O B-bill_type O
when is my xfinity bill due	bill_due	O O O B-bill_type O O
how many more days before my verizon bill is due	bill_due	O O O O O O B-bill_type O O O
i cant remember when my bill is due	bill_due	O O O O O O O O
what is the due date of my bill	bill_due	O O O O O O O O
what day is my bill due	bill_due	O O O O O O
when is my bill due	bill_due	O O O O O
tell me when my bill will be due	bill_due	O O O O O O O O
how do i locate when my gas bill is do	bill_due	O O O O O O B-bill_type O O O
i would like to know my electric bills date it needs to be payed	bill_due	O O O O O O B-bill_type O O O O O O O
i need to know where to locate when my gas bill is due	bill_due	O O O O O O O O O B-bill_type O O O
can you tell me when my electric bill is due	bill_due	O O O O O O B-bill_type O O O
i need to know the due date for my credit card	bill_due	O O O O O O O O O B-bill_type I-bill_type
where should i look for when my gas bill is due	bill_due	O O O O O O O B-bill_type O O O
can you tell me the date my credit card is due	bill_due	O O O O O O O B-bill_type I-bill_type O O
i ' d like to find the date that my gas bill is due	bill_due	O O O O O O O O O O B-bill_type O O O
how do i know when to pay my gas bill	bill_due	O O O O O O O O B-bill_type O
when do i have to pay my water bill by	bill_due	O O O O O O O B-bill_type O O
when do i have to pay my electric bill by	bill_due	O O O O O O O B-bill_type O O
when do i have to pay my internet bill by	bill_due	O O O O O O O B-bill_type O O
when do i have to pay my gas bill by	bill_due	O O O O O O O B-bill_type O O
tell me when i have to pay my bill	bill_due	O O O O O O O O O
what date do i have to pay my bill	bill_due	O O O O O O O O O
give me the date my bill is due	bill_due	O O O O O O O O
on what day do i have to pay my nordstrom bill	bill_due	O O O O O O O O O B-bill_type O
when is my chase visa due	bill_due	O O O B-bill_type I-bill_type O
when do i need to pay my annual payment for auto insurance	bill_due	O O O O O O O O O O B-bill_type I-bill_type
what is the exact due date for my mortgage payment	bill_due	O O O O O O O O B-bill_type O
what is the due date for my metronorth monthy pass	bill_due	O O O O O O O B-bill_type I-bill_type I-bill_type
can you tell me when my peco energy bill is due this month	bill_due	O O O O O O B-bill_type I-bill_type O O O O O
please find the exact payment due date for my sprint phone bill	bill_due	O O O O O O O O O B-bill_type I-bill_type O
what is the due date on my xfinity internet bill for february	bill_due	O O O O O O O B-bill_type I-bill_type O O O
what is the latest date that i can pay my direct tv bill this month	bill_due	O O O O O O O O O O B-bill_type I-bill_type O O O
i need the new due date for my pgw gas bill	bill_due	O O O O O O O O B-bill_type I-bill_type O
what time do i have to pay z bill	bill_due	O O O O O O O B-bill_type O
whats the due date for z bill	bill_due	O O O O O B-bill_type O
how soon before my catering bill is due	bill_due	O O O O B-bill_type O O O
how long before my lawn guy bill ' s due	bill_due	O O O O B-bill_type I-bill_type O O O O
when ' s my heater bill due	bill_due	O O O O B-bill_type O O
what date is my water bill due	bill_due	O O O O B-bill_type O O
whats the deadline for amex payment	bill_due	O O O O B-bill_type O
when is my visa due	bill_due	O O O B-bill_type O
when is visa due	bill_due	O O B-bill_type O
do you know when i need to pay my mastercard	bill_due	O O O O O O O O O B-bill_type
what ' s the due date for my american express payment	bill_due	O O O O O O O O B-bill_type I-bill_type O
when is my mortgage payment due	bill_due	O O O B-bill_type O O
what ' s the due date for the credit card	bill_due	O O O O O O O O B-bill_type I-bill_type
when ' s the next time i have to pay the insurance	bill_due	O O O O O O O O O O O B-bill_type
how long do i have to pay the gas bill	bill_due	O O O O O O O O B-bill_type O
when ' s the rent due	bill_due	O O O O B-bill_type O
when does the car payment come due	bill_due	O O O B-bill_type O O O
when does the electric bill up	bill_due	O O O B-bill_type O O
how do i check when my mortgage is next up for payment	bill_due	O O O O O O B-bill_type O O O O O
when do i owe the state payment for my car tags	bill_due	O O O O O O O O O B-bill_type I-bill_type
when do i owe the rent	bill_due	O O O O O B-bill_type
do i need to pay my credit card bill already	bill_due	O O O O O O B-bill_type I-bill_type O O
do you know when my next electric bill is due	bill_due	O O O O O O B-bill_type O O O
where do i find information on when the water bill is due	bill_due	O O O O O O O O B-bill_type O O O
how do i ascertain when my next insurance payment will be	bill_due	O O O O O O O B-bill_type O O O
what do i do to check when my next credit card payment is	bill_due	O O O O O O O O O B-bill_type I-bill_type O O
when do i need to pay my at & t bill	bill_due	O O O O O O O B-bill_type I-bill_type I-bill_type O
what is the due date of my at & t bill	bill_due	O O O O O O O B-bill_type I-bill_type I-bill_type O
is my at & t bill do soon	bill_due	O O B-bill_type I-bill_type I-bill_type O O O
when is my at & t bill due	bill_due	O O O B-bill_type I-bill_type I-bill_type O O
what date is my at & t bill due	bill_due	O O O O B-bill_type I-bill_type I-bill_type O O
when ' s the ac bill due	bill_due	O O O O B-bill_type O O
what day is the z bill due	bill_due	O O O O B-bill_type O O
what ' s the due date for the renting bill	bill_due	O O O O O O O O B-bill_type O
i want to know when a bill is due	bill_due	O O O O O O O O O
what day is the bill due	bill_due	O O O O O O
i would like to know when the bill is due	bill_due	O O O O O O O O O O
what is the due date for a bill	bill_due	O O O O O O O O
when is the bill due	bill_due	O O O O O
how do i find when my water bill needs to be paid	bill_due	O O O O O O B-bill_type O O O O O
when is my water bill due	bill_due	O O O B-bill_type O O
how do i find when my cable bill is due	bill_due	O O O O O O B-bill_type O O O
when is my electric bill due	bill_due	O O O B-bill_type O O
when do i need to pay the water bil	bill_due	O O O O O O O B-bill_type O
how do i find when my medical bill is due	bill_due	O O O O O O B-bill_type O O O
when do i need to pay the cable bill	bill_due	O O O O O O O B-bill_type O
how do i find when my electric bill is due	bill_due	O O O O O O B-bill_type O O O
i ' m afraid this charge on my account is fraud	report_fraud	O O O O O O O O O O O
i think there ' some fraud on my account	report_fraud	O O O O O O O O O
i think i have fraud on my account from walmart	report_fraud	O O O O O O O O O B-transaction-from
there ' s been some fraudulent activity on my card	report_fraud	O O O O O O O O O B-transaction-to
i ' m pretty sure this charge from sam ' s club is fraudulent	report_fraud	O O O O O O O O B-transaction-from I-transaction-from I-transaction-from I-transaction-from O O
i ' m pretty sure this charge is fraudulent	report_fraud	O O O O O O O O O
i need to report some fraudulent card activity	report_fraud	O O O O O O B-transaction-to O
there are some questionable charges on my card	report_fraud	O O O O O O O B-transaction-to
i think there ' s a fraudulent transaction on my account	report_fraud	O O O O O O O O O O O
there ' s a shady charge from comcast on my account	report_fraud	O O O O O O O B-transaction-from O O O
my account has a fraudulent transaction i think	report_fraud	O O O O O O O O
can you help me with some fraudulent charges on my card	report_fraud	O O O O O O O O O O B-transaction-to
i think i ' ve been the victim of fraud	report_fraud	O O O O O O O O O O
i ' d like to report a fraudulent charge from people ' s natural gas	report_fraud	O O O O O O O O O O B-transaction-from I-transaction-from I-transaction-from I-transaction-from I-transaction-from
this costco charge looks fraudulent	report_fraud	O B-transaction-from O O O
there ' s fraudulent transaction going on	report_fraud	O O O O O O O
i may have a fraudulent transaction	report_fraud	O O O O O O
i suspect some suspicious activity	report_fraud	O O O O O
there seems to be fraudulent activity	report_fraud	O O O O O O
i suspect fraudulent transaction	report_fraud	O O O O
i need to report fraudulent activity on my card	report_fraud	O O O O O O O O B-transaction-to
i ' m reporting fraudelent activity on my card	report_fraud	O O O O O O O O B-transaction-to
there has been fraudulent activity on my card and i need to report it	report_fraud	O O O O O O O B-transaction-to O O O O O O
